file_name,new_name,selected,rarity
0,Jobs,TRUE,
1,Kobe,TRUE,
2,Jordan,TRUE,
3,Lacoste,TRUE,
4,Lahore,TRUE,
5,Uber,TRUE,
6,Party,TRUE,
7,Sailor,TRUE,
8,MIB,TRUE,
9,Gala,TRUE,
10,Saul,TRUE,
11,Hack,TRUE,
12,Eminem,TRUE,
13,Puffer,TRUE,
14,Fairbanks,TRUE,
15,Poker,TRUE,
16,LA,TRUE,
17,Track,TRUE,
18,Malibu,TRUE,
19,Night,TRUE,
20,Virginia,TRUE,
21,Rio,TRUE,
22,Malaga,TRUE,
23,Bavaria,TRUE,
24,Night,TRUE,
25,Sky,TRUE,
26,Amazon,TRUE,
27,Army,TRUE,
28,Navy,TRUE,
29,Air Force,TRUE,
30,Popeye,TRUE,
31,Space,TRUE,
32,Rich,TRUE,
33,Guantanamo,TRUE,
34,Ride,TRUE,
35,Farming,TRUE,
36,Space,TRUE,
37,Knight,TRUE,
38,Bull,TRUE,
39,Wall Street,TRUE,
40,King,TRUE,
41,Jodhpur,TRUE,
42,Agra,TRUE,
43,Smart,TRUE,
44,Boston,TRUE,
45,Cold,TRUE,
46,NYC,TRUE,
47,Tendulkar,TRUE,
49,Fufa,TRUE,
50,Cupid,TRUE,
51,Gold,TRUE,
52,Samurai,TRUE,
53,Venice,TRUE,
54,Zion,TRUE,
55,Sicily,TRUE,
56,Lol,TRUE,
57,Naruto,TRUE,
58,Luffy,TRUE,
59,Monaco,TRUE,
60,Shinobi,TRUE,
61,Ninja,TRUE,
62,Kill,TRUE,
63,Dead,TRUE,
64,Law,TRUE,
65,Hawaii,TRUE,
66,Bro,TRUE,
67,Taipei,TRUE,
68,Amsterdam,TRUE,
