number,background,beard,dress,eyes,eyewear,face,head,skin
1,orange,muscat,ride,where,none,vape,queen,alien
2,dark-green,rhodes,taipei,bro,potter,lol,minnesota,plain
3,green,none,space,bro,thug,nyc,panama,dmt
4,blue,washington,army,sic,3d,sic,military,avatar
5,mint,none,none,love,gandhi,cheeky,minnesota,avatar
6,purple,none,mumbai,gotcha,pirate,love,nj,trippy
7,brown,none,hack,bro,love,gurgaon,none,plain
8,blue,muscat,kermit,eth,none,lol,sumo,trippy
9,orange,lebanon,farming,sus,none,vape,none,zombie
10,brown,none,eminem,happy,vision,love,none,plain
11,dark-green,washington,none,what,android,party,devil,trippy
12,purple,none,poker,fire,none,sic,travolta,dalmation
13,orange,none,kobe,zobro,vegas,lol,golf,ink
14,brown,washington,jobs,love,vision,havana,bingham,dalmation
15,yellow,tehran,space,bro,xmen,party,queen,dalmation
16,teal,none,none,gotcha,xmen,gurgaon,athens,plain
17,teal,lebanon,none,where,tech,lol,fireman,plain
18,dark-green,none,mumbai,where,office,cheeky,travolta,dmt
19,red,hulk,naruto,sic,office,lol,devil,panda
20,yellow,lebanon,none,sic,office,lol,ride,trippy
21,purple,none,none,bro,android,bigo,scotland,plain
22,green,rhodes,la,btc,none,cheeky,oregon,avatar
23,dark-green,none,night,gotcha,party,gurgaon,bravo,trippy
24,orange,rhodes,sicily,sus,android,sic,angel,trippy
25,yellow,moscow,saul,lost,thug,smile,athens,zombie
26,blue,lebanon,fairbanks,dead,android,smile,minnesota,trippy
27,mint,none,btc,bro,thug,nyc,angel,ape
28,blue,muscat,lol,fire,office,smile,queen,tiger
29,teal,none,kill,eth,none,smile,zoro,dmt
30,green,none,track,sus,thug,mexico,messi,machine
31,purple,nice,taipei,love,none,bigo,punk,plain
32,teal,none,none,bro,android,nyc,dream,plain
33,teal,none,knight,bro,zorro,cheeky,mexico,plain
34,mint,none,law,bro,miami,candy,taproot,gold
35,yellow,none,btc,gotcha,vegas,lol,hell,ink
36,dark-green,none,army,fire,machine,sic,kazan,tiger
37,orange,lebanon,kill,dead,3d,bigo,taproot,plain
38,green,muscat,lol,sic,office,bigo,panama,trippy
39,mint,none,space,happy,xmen,gurgaon,samurai,dalmation
40,orange,tehran,guantanamo,happy,none,love,jerusalem,ape
41,orange,hulk,guantanamo,eth,none,bigo,belair,tiger
42,teal,none,none,what,zorro,gurgaon,pirate,plain
43,orange,tehran,army,dead,potter,seville,kazan,tiger
44,blue,none,navy,gotcha,none,party,pods,ink
45,mint,austin,track,sus,party,havana,mexico,plain
46,green,none,none,what,gandhi,party,minnesota,ink
47,blue,rhodes,naruto,where,gandhi,smile,panama,zombie
48,teal,none,lol,sic,miami,naples,none,avatar
49,dark-green,none,amsterdam,bro,matrix,tobacco,athens,ink
50,mint,lebanon,jobs,eth,none,smile,sumo,trippy
51,red,none,law,what,gandhi,lol,vegas,zombie
52,teal,washington,kobe,what,gandhi,smile,punk,trippy
53,dark-green,none,none,dead,none,love,military,gold
54,dark-green,muscat,lol,sus,none,naples,army,ape
55,blue,none,sailor,bro,vegas,vape,army,avatar
56,purple,muscat,dead,fire,love,lol,golf,zombie
57,yellow,none,zobro,zobro,potter,naples,food,plain
58,yellow,none,dead,zobro,office,candy,alabama,dalmation
59,dark-green,lebanon,guantanamo,bro,machine,vape,vegas,plain
